Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
0.6808555,-0.001975536,1.040972,-1.092201,0.8678757,-0.4891374,0.07535061,0.04311226,
0.698644,-0.001847982,1.040986,-1.092192,0.8679175,-0.4890854,0.07533687,0.0428837,
0.7042072,-0.001689911,1.041014,-1.092173,0.8679463,-0.4890454,0.07534686,0.04274083,
0.7185803,-0.001550674,1.041021,-1.092161,0.8679845,-0.4889707,0.07546464,0.04260954,
0.7245947,-0.001348495,1.041029,-1.092157,0.8679906,-0.4889555,0.07549908,0.04260062,
0.7369275,-0.001109123,1.041074,-1.09214,0.8679883,-0.4889521,0.07558992,0.04252447,
0.7476951,-0.0009255409,1.041099,-1.092092,0.8679465,-0.4890432,0.07555827,0.04238706,
0.7585299,-0.0007591248,1.041191,-1.092067,0.8678963,-0.4891253,0.0756572,0.04228851,
0.7699456,-0.0005512238,1.041263,-1.092002,0.8678604,-0.4891966,0.07571106,0.04210541,
0.7813918,-0.0004501343,1.041237,-1.091901,0.8678945,-0.4891454,0.07578965,0.04185606,
0.9139286,0.001447678,1.041258,-1.090562,0.8679069,-0.4889198,0.07806452,0.04001375,
0.9194658,0.001447678,1.041258,-1.090562,0.8679069,-0.4889198,0.07806452,0.04001375,
0.9256723,0.001675367,1.041271,-1.090479,0.8679487,-0.4888311,0.0781803,0.03996344,
0.9427037,0.00181818,1.041258,-1.090288,0.8679652,-0.4888141,0.07817629,0.03982113,
0.9472594,0.001919746,1.041248,-1.090204,0.8680322,-0.4887036,0.07822021,0.03963076,
0.9584846,0.002048492,1.041244,-1.090205,0.8680651,-0.4886542,0.07819573,0.03956698,
0.9695125,0.002180576,1.041216,-1.090154,0.8680456,-0.4886679,0.07834661,0.03952761,
0.980472,0.002233267,1.041191,-1.09009,0.8680853,-0.4885849,0.07847868,0.03941813,
0.991552,0.002363682,1.041178,-1.090037,0.8680944,-0.4885355,0.07867259,0.03944477,
1.002597,0.002528191,1.041225,-1.089914,0.8681162,-0.4884799,0.07881291,0.03937274,
1.013872,0.002632141,1.041237,-1.089857,0.8681541,-0.4883988,0.07895467,0.03925847,
1.024902,0.002775431,1.041247,-1.089743,0.8682235,-0.4882676,0.07905276,0.03915928,
1.035919,0.002881289,1.041257,-1.08967,0.8682772,-0.4881623,0.07916032,0.0390625,
1.047109,0.002957344,1.041278,-1.08959,0.8682942,-0.4881194,0.07925852,0.03902204,
1.058509,0.003028393,1.041283,-1.089539,0.8683034,-0.4880701,0.07943927,0.03906689,
1.069742,0.003102303,1.0413,-1.089457,0.8683183,-0.4880255,0.07958291,0.0390018,
1.081402,0.00318861,1.041312,-1.089374,0.8682964,-0.4880448,0.07974602,0.03891153,
1.094317,0.00324297,1.041365,-1.089299,0.8682412,-0.4881412,0.07982466,0.03877534,
1.111903,0.003303051,1.041389,-1.08921,0.8682493,-0.4881504,0.07976704,0.03859527,
1.116336,0.003349543,1.041426,-1.089127,0.8682411,-0.4881561,0.07987411,0.03848643,
1.124789,0.003312111,1.041441,-1.089103,0.8682656,-0.488094,0.07992316,0.03861901,
1.135939,0.003318071,1.041409,-1.08903,0.868273,-0.4880803,0.07994487,0.03858175,
1.147001,0.003249645,1.041399,-1.088994,0.8683085,-0.4880244,0.07994179,0.0384934,
1.158296,0.003241062,1.041426,-1.088889,0.8683238,-0.488009,0.07991681,0.03839689,
1.169365,0.003184795,1.041409,-1.088845,0.8683581,-0.4879334,0.07990471,0.03860627,
1.180409,0.003208399,1.041392,-1.088835,0.8683578,-0.4879338,0.07988641,0.03864678,
1.191514,0.003154755,1.041392,-1.088795,0.8683133,-0.4880006,0.07986692,0.03884158,
1.202595,0.003124952,1.041413,-1.088819,0.868193,-0.4881736,0.07999649,0.03908862,
1.213937,0.003071308,1.041446,-1.088756,0.86814,-0.4883083,0.0797649,0.03905831,
1.22483,0.002901554,1.041515,-1.088674,0.8680109,-0.4885024,0.07983194,0.03936157,
1.235842,0.002756834,1.041666,-1.088618,0.8679405,-0.4885933,0.07993136,0.03958317,
1.24681,0.002646685,1.041732,-1.088576,0.8679424,-0.4886038,0.07981429,0.03964843,
1.258221,0.002533913,1.041773,-1.088555,0.8679197,-0.4886993,0.07948737,0.03962493,
1.269172,0.002235889,1.041671,-1.088378,0.8679006,-0.4887818,0.07928164,0.0394391,
1.280309,0.002044439,1.041533,-1.088347,0.8678602,-0.4888793,0.07910609,0.03947083,
1.29136,0.001922607,1.04154,-1.088334,0.8679091,-0.4888263,0.07889634,0.03947196,
1.302545,0.002008438,1.041866,-1.088496,0.8678508,-0.488921,0.07884439,0.03968506,
1.31373,0.00189352,1.041889,-1.088521,0.8678799,-0.4889112,0.07857072,0.03971114,
1.324743,0.001686335,1.041777,-1.088519,0.8678661,-0.4889702,0.07826592,0.03988861,
1.335821,0.0015347,1.041781,-1.088617,0.8678469,-0.4890381,0.07797408,0.04004446,
1.346935,0.001345158,1.041807,-1.088711,0.8678635,-0.4891039,0.07738854,0.0400171,
1.358132,0.001028538,1.04168,-1.088655,0.8679463,-0.4890542,0.07679795,0.03996549,
1.3692,0.0007984638,1.041688,-1.088741,0.8680247,-0.4890462,0.07600904,0.03986955,
1.380314,0.0004298687,1.041867,-1.088696,0.8680489,-0.48906,0.0756047,0.03994125,
1.391323,0.0001969337,1.0419,-1.08881,0.8680139,-0.4891753,0.07516132,0.04012884,
1.402542,-0.0001299381,1.041899,-1.088951,0.8681216,-0.489068,0.07458236,0.04018524,
1.41349,-0.0003700256,1.041893,-1.08905,0.8681966,-0.4890057,0.07413981,0.04014276,
1.424621,-0.0007252693,1.041822,-1.089087,0.8683133,-0.4888003,0.07398801,0.04039901,
1.435667,-0.0010252,1.041813,-1.089187,0.8683405,-0.4887744,0.07363198,0.04077624,
1.44707,-0.001329184,1.041755,-1.089318,0.8684371,-0.488619,0.07332535,0.0411328,
1.458134,-0.00161171,1.041738,-1.08949,0.8685483,-0.4884745,0.07282474,0.0413885,
1.469715,-0.001921177,1.04175,-1.089651,0.8685979,-0.488483,0.07211515,0.04148918,
1.480297,-0.002164364,1.041743,-1.089925,0.8686394,-0.4884984,0.07150372,0.0414987,
1.491265,-0.002406836,1.041792,-1.09007,0.8686789,-0.4885085,0.07090572,0.04157816,
1.502551,-0.002626419,1.041738,-1.090223,0.868737,-0.488438,0.07058831,0.04173163,
1.513451,-0.002870083,1.0418,-1.090349,0.8687534,-0.488455,0.07018226,0.0418792,
1.524652,-0.00304842,1.0418,-1.0904,0.8688247,-0.4883717,0.06982603,0.04196574,
1.536272,-0.003360271,1.041739,-1.090424,0.8688512,-0.4883875,0.06939266,0.04195101,
1.547493,-0.00357604,1.041735,-1.090535,0.8689227,-0.4882875,0.06920386,0.04194674,
1.558788,-0.004130363,1.04158,-1.090477,0.8689396,-0.4882927,0.06897589,0.04191156,
1.570402,-0.004324436,1.041599,-1.090564,0.8688974,-0.4883758,0.06890748,0.04192986,
1.581563,-0.004682779,1.041612,-1.090713,0.8688591,-0.4884298,0.06906451,0.04183808,
1.593618,-0.004873276,1.041616,-1.090865,0.868772,-0.4885812,0.06904607,0.04190978,
1.604644,-0.005007267,1.041675,-1.090956,0.8687103,-0.4886941,0.06919621,0.0416206,
