Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
0.6804266,-0.1178522,0.09044838,-1.17075,-0.4175321,-0.3412655,-0.1948528,0.8192906,
0.6982124,-0.1178381,0.09042072,-1.170806,-0.4176138,-0.3412814,-0.1949507,0.8192192,
0.7037963,-0.1178598,0.09039783,-1.170785,-0.4177091,-0.3412786,-0.1950702,0.8191432,
0.7181461,-0.1178968,0.09041023,-1.170703,-0.4177854,-0.341249,-0.1950657,0.8191177,
0.7241909,-0.1178572,0.09038448,-1.170703,-0.4176956,-0.3413346,-0.1950929,0.8191214,
0.7363874,-0.1178024,0.09050179,-1.170711,-0.4177722,-0.3411988,-0.1951533,0.8191245,
0.7472467,-0.1179507,0.09057236,-1.170752,-0.4176919,-0.3412775,-0.1950495,0.8191574,
0.7580802,-0.1179624,0.09062004,-1.170711,-0.4176667,-0.3412443,-0.1950635,0.8191808,
0.7694854,-0.1179621,0.09052372,-1.170747,-0.4177174,-0.3411826,-0.1951199,0.8191672,
0.780685,-0.1179576,0.09051704,-1.170726,-0.4177111,-0.3411918,-0.1951719,0.8191541,
0.913527,-0.1176476,0.09071159,-1.170505,-0.4176984,-0.3407459,-0.1956338,0.819236,
0.9190692,-0.1176476,0.09071159,-1.170505,-0.4176984,-0.3407459,-0.1956338,0.819236,
0.9252622,-0.1176319,0.09070778,-1.17056,-0.4178302,-0.3406308,-0.1958099,0.8191746,
0.9422953,-0.1176193,0.09071636,-1.170563,-0.4178581,-0.3406413,-0.1958394,0.819149,
0.946881,-0.1176589,0.09073353,-1.170577,-0.4178784,-0.3406017,-0.1959224,0.8191352,
0.9580787,-0.1176472,0.09075165,-1.170585,-0.418003,-0.3404741,-0.1960562,0.8190927,
0.9691195,-0.1177018,0.09068108,-1.170604,-0.4180821,-0.3404234,-0.1961217,0.8190578,
0.9800902,-0.1176586,0.09066582,-1.170624,-0.4182608,-0.3403697,-0.1962753,0.818952,
0.9911534,-0.1177492,0.09064102,-1.170602,-0.4182341,-0.340376,-0.1962777,0.8189625,
1.002213,-0.11778,0.09072399,-1.170616,-0.4182532,-0.3403381,-0.1964366,0.8189304,
1.013474,-0.1178432,0.09076214,-1.17058,-0.4184059,-0.3402876,-0.1964417,0.8188721,
1.024484,-0.1177423,0.09077644,-1.170556,-0.4184674,-0.3402008,-0.1965853,0.8188423,
1.035529,-0.1177468,0.0907774,-1.170543,-0.4185297,-0.3402002,-0.1966753,0.818789,
1.046718,-0.1177306,0.090765,-1.170568,-0.4185344,-0.340146,-0.1967149,0.8187997,
1.058114,-0.1177516,0.09078884,-1.170527,-0.4184538,-0.3401964,-0.1966934,0.8188251,
1.069294,-0.1176162,0.09063435,-1.170497,-0.418301,-0.3402881,-0.1965987,0.8188878,
1.081011,-0.1176186,0.09061337,-1.170432,-0.4181435,-0.3403095,-0.1965446,0.8189723,
1.093925,-0.1176424,0.09063911,-1.170447,-0.418035,-0.3403435,-0.1964819,0.8190286,
1.11151,-0.1176486,0.09063339,-1.170429,-0.4180555,-0.3403386,-0.1964239,0.8190341,
1.115953,-0.1177163,0.09062862,-1.170564,-0.4179988,-0.3403923,-0.1963972,0.8190472,
1.124413,-0.1176474,0.09062576,-1.170575,-0.4180175,-0.3403579,-0.1964379,0.8190421,
