Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
0.6796163,0.09507704,0.09353447,-0.7738152,-0.2416437,0.4363193,0.6806431,0.5366178,
0.6976375,0.09512639,0.09361267,-0.7737694,-0.2415013,0.4364521,0.6803576,0.536936,
0.7032911,0.09507656,0.09373188,-0.7737694,-0.2414037,0.436683,0.6800735,0.5371519,
0.717553,0.09508467,0.0937376,-0.7738161,-0.2414722,0.4367188,0.6799842,0.5372052,
0.7237333,0.09512067,0.09367752,-0.7738419,-0.2414563,0.4368748,0.6799171,0.5371704,
0.7356658,0.09525681,0.09379005,-0.7737617,-0.2414836,0.4368017,0.6798731,0.5372732,
0.7466457,0.09513998,0.09378242,-0.7737913,-0.2415078,0.4369535,0.6797516,0.5372927,
0.7575258,0.09527588,0.09376144,-0.7738867,-0.2412277,0.4369923,0.6796818,0.5374752,
0.7689523,0.09532022,0.09379959,-0.7739658,-0.2407343,0.4372152,0.6793014,0.5379957,
0.7798137,0.09528208,0.09375477,-0.7739449,-0.2407373,0.4374376,0.6790851,0.5380867,
0.9129874,0.09545565,0.09367371,-0.7739315,-0.2406569,0.4378143,0.6786738,0.5383352,
0.9186475,0.09545565,0.09367371,-0.7739315,-0.2406569,0.4378143,0.6786738,0.5383352,
0.9248081,0.09543729,0.09372425,-0.7739067,-0.2407725,0.43795,0.6785722,0.5383012,
0.9417869,0.09552026,0.09365654,-0.7740088,-0.2408935,0.4378669,0.6786048,0.5382736,
0.9464754,0.09561825,0.09385872,-0.7740412,-0.2406597,0.4379334,0.6783823,0.5386044,
0.9575585,0.09556818,0.0939436,-0.774065,-0.2404132,0.4387197,0.6778175,0.5387857,
0.9686556,0.09558153,0.09394836,-0.7740993,-0.2404052,0.438435,0.677884,0.5389373,
0.9796564,0.09545803,0.09396744,-0.7740402,-0.2404449,0.438682,0.6777513,0.5388855,
0.9907195,0.0955081,0.09395409,-0.7741146,-0.2402985,0.438646,0.6777971,0.5389225,
1.001791,0.09557104,0.09401417,-0.7741756,-0.2400748,0.4390248,0.6773498,0.5392759,
1.013017,0.09560919,0.09404564,-0.7741766,-0.23988,0.4395052,0.6769556,0.5394663,
1.024037,0.095469,0.09398079,-0.7741375,-0.2397625,0.439305,0.6769927,0.539635,
1.035093,0.09546399,0.09394169,-0.7741003,-0.2398201,0.4393769,0.6770066,0.5395334,
1.046294,0.09537649,0.09395981,-0.7741222,-0.239841,0.4393247,0.6770899,0.5394621,
1.05764,0.09536266,0.09392357,-0.7741013,-0.2400019,0.4391678,0.6772718,0.5392899,
1.068823,0.09533834,0.09389591,-0.7741032,-0.2400004,0.4389721,0.6774374,0.539242,
1.080565,0.09561968,0.09402847,-0.7739897,-0.2401178,0.4389426,0.6774337,0.5392184,
1.09344,0.09566307,0.09399128,-0.7740803,-0.2401167,0.4389387,0.6774091,0.5392529,
1.111041,0.0954988,0.09397602,-0.7740917,-0.2401804,0.4389919,0.6774075,0.5391833,
1.115527,0.09555554,0.0939436,-0.7741375,-0.2402337,0.4388449,0.6774911,0.5391741,
1.124006,0.0954752,0.09395027,-0.7741938,-0.2402803,0.4388027,0.6775525,0.5391105,
1.135118,0.09548759,0.09398365,-0.7742271,-0.2404397,0.4386674,0.6776729,0.5389982,
1.146146,0.09544086,0.09395409,-0.7741194,-0.2404702,0.4386385,0.6777036,0.5389696,
1.157405,0.095433,0.09399796,-0.7741461,-0.2404735,0.4386089,0.6777765,0.5389005,
1.168501,0.09542441,0.09392548,-0.7740297,-0.240576,0.4384712,0.6779551,0.5387422,
1.179626,0.09534883,0.09380817,-0.7739592,-0.2405151,0.4382438,0.6782179,0.5386235,
1.190696,0.09529829,0.09376907,-0.7739038,-0.2407668,0.4380899,0.6784624,0.5383283,
1.201773,0.09531212,0.0936861,-0.7739,-0.2408714,0.4378784,0.6787524,0.538088,
1.213033,0.09524107,0.0936718,-0.7738409,-0.2411266,0.4377089,0.678968,0.5378397,
1.22404,0.09525299,0.09366131,-0.7738752,-0.241125,0.437768,0.6790871,0.5376417,
1.235023,0.09521484,0.09356308,-0.7738104,-0.2412236,0.4376843,0.6792192,0.5374987,
1.246023,0.09519291,0.0935297,-0.7737875,-0.241399,0.4374047,0.6794755,0.5373236,
1.257328,0.09501028,0.09360886,-0.7737532,-0.2414467,0.4375183,0.6794754,0.5372099,
1.268363,0.09507608,0.0936451,-0.7737141,-0.2414684,0.4374356,0.6794986,0.5372382,
1.279429,0.09505701,0.09362888,-0.7737131,-0.2416061,0.4375136,0.6794831,0.5371323,
1.290542,0.09519196,0.09360123,-0.7737961,-0.2415794,0.4373662,0.6797109,0.536976,
1.301743,0.09516978,0.09356689,-0.7737846,-0.2419238,0.4369638,0.6802305,0.5364904,
1.31283,0.09517264,0.09354115,-0.7738409,-0.2418305,0.436681,0.6806297,0.5362566,
1.323951,0.09514284,0.09357643,-0.77388,-0.2420223,0.436429,0.6809205,0.5360059,
1.335029,0.09525871,0.09363079,-0.7739325,-0.2421342,0.4362027,0.6811251,0.5358795,
1.346086,0.09528351,0.09362221,-0.7739582,-0.2422062,0.4362332,0.681228,0.5356913,
1.357277,0.09531736,0.093647,-0.7739878,-0.2424204,0.435967,0.6815048,0.535459,
1.368369,0.09530354,0.09361744,-0.7739182,-0.2424552,0.4359675,0.6815663,0.5353646,
1.379499,0.09520626,0.0936451,-0.7738905,-0.2425923,0.4358585,0.6816485,0.5352865,
1.390502,0.09524679,0.09360504,-0.7738037,-0.2425072,0.4359907,0.6815237,0.5353764,
1.401729,0.09523964,0.09365082,-0.7738523,-0.2425546,0.4359852,0.6814946,0.5353965,
1.412637,0.09530067,0.09361362,-0.7739277,-0.2425168,0.4360166,0.6813835,0.5355294,
1.423823,0.09533763,0.09361649,-0.773942,-0.2425542,0.4360729,0.6813678,0.5354866,
1.434842,0.09525251,0.09346104,-0.7738514,-0.2424329,0.4360902,0.6813374,0.5355661,
1.446284,0.09522676,0.09351921,-0.7739239,-0.2425052,0.4360956,0.6813031,0.5355726,
1.457275,0.09512806,0.093606,-0.7738514,-0.2426726,0.43603,0.6814165,0.5354059,
1.468801,0.09508586,0.09352207,-0.7736874,-0.2424701,0.4361931,0.6813487,0.5354511,
1.479462,0.09511566,0.09357834,-0.7737093,-0.2427367,0.4357153,0.6817553,0.5352017,
1.490492,0.09518409,0.09357738,-0.7737226,-0.2425237,0.4358677,0.6815768,0.5354013,
1.50172,0.09517431,0.09358311,-0.7737246,-0.2425355,0.4357799,0.6815929,0.5354469,
1.512657,0.09527159,0.09358788,-0.7737122,-0.2424141,0.435861,0.6815163,0.5355335,
1.523834,0.09526682,0.09359646,-0.7736797,-0.2423307,0.4358633,0.6815199,0.5355648,
1.535427,0.09525561,0.09360218,-0.7736444,-0.2423883,0.4358129,0.6815958,0.5354832,
1.546658,0.09523821,0.09356213,-0.7736549,-0.2422833,0.4357222,0.6817862,0.5353621,
1.557996,0.09520721,0.09357834,-0.7736855,-0.242377,0.435646,0.6817784,0.5353916,
1.569552,0.09524202,0.0935812,-0.7736835,-0.2423133,0.4355755,0.6818178,0.5354276,
1.580724,0.09517002,0.09361744,-0.7736063,-0.2422425,0.4355951,0.6819279,0.5353035,
