Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
0.6582546,0.01928496,1.045143,-1.181016,0.8407124,-0.5384486,-0.01584001,0.05499969,
0.6729392,0.01930451,1.045146,-1.180978,0.8408064,-0.5382952,-0.01593895,0.05503503,
0.6778441,0.01931524,1.045202,-1.180989,0.8408545,-0.5382039,-0.01602263,0.05516815,
0.6885628,0.01931524,1.045202,-1.180989,0.8408545,-0.5382039,-0.01602263,0.05516815,
0.6927989,0.01935482,1.045241,-1.180945,0.8408874,-0.5381437,-0.01608714,0.05523577,
0.7015887,0.01940036,1.04525,-1.180928,0.8409753,-0.5379887,-0.01616545,0.05538455,
0.7123522,0.01944017,1.045243,-1.18084,0.8409752,-0.5379703,-0.01625301,0.0555379,
0.7234979,0.01946449,1.045258,-1.180831,0.8410074,-0.5379146,-0.01637995,0.05555292,
0.7344351,0.01952171,1.045281,-1.180869,0.8410225,-0.5378737,-0.0163845,0.05571925,
0.7455238,0.01960278,1.045313,-1.180894,0.8410301,-0.537843,-0.01654965,0.0558508,
0.7565523,0.01959944,1.045322,-1.180895,0.8410414,-0.5378112,-0.01663295,0.05596415,
0.7681248,0.01958346,1.045303,-1.180913,0.8410507,-0.5377768,-0.01691346,0.05606982,
0.7790987,0.01958537,1.045314,-1.18093,0.8410851,-0.5376998,-0.01699607,0.05626773,
0.7901669,0.01955104,1.045284,-1.18097,0.8411085,-0.5376456,-0.01713273,0.05639298,
0.8011445,0.01954556,1.045283,-1.181006,0.8411166,-0.5376161,-0.01717009,0.05654314,
0.8125142,0.01945829,1.045272,-1.181035,0.8411556,-0.5375203,-0.01728212,0.05683792,
0.8234626,0.01942444,1.045255,-1.181041,0.8411523,-0.5375153,-0.01737906,0.05690428,
0.8344928,0.01947045,1.045314,-1.181102,0.8411273,-0.5375405,-0.01742359,0.05702147,
0.8463406,0.01946473,1.045303,-1.181149,0.8411394,-0.537513,-0.01748037,0.05708481,
0.8568068,0.01939607,1.045307,-1.1812,0.8411692,-0.537467,-0.01749294,0.05707574,
0.8678306,0.01936126,1.045288,-1.181239,0.8412153,-0.5373871,-0.01746736,0.05715687,
0.8788841,0.01930499,1.045306,-1.181268,0.8411882,-0.5374177,-0.01751698,0.05725189,
0.9057465,0.019279,1.045321,-1.181346,0.8412222,-0.5373624,-0.01739727,0.05730866,
0.9124731,0.01917553,1.04528,-1.18152,0.8412207,-0.5373598,-0.0173812,0.05735928,
0.9235183,0.01912332,1.04525,-1.181595,0.8411937,-0.5374024,-0.01727737,0.05738674,
0.9345843,0.01911807,1.045272,-1.181616,0.8411803,-0.5374196,-0.01722533,0.05743898,
0.9458634,0.0190289,1.045243,-1.181663,0.841175,-0.5374196,-0.01711925,0.0575466,
0.9568947,0.01906633,1.045337,-1.181636,0.841163,-0.5374224,-0.01708723,0.05770686,
0.9680882,0.01897001,1.0453,-1.181706,0.8411676,-0.5374231,-0.01701163,0.05765481,
0.9790157,0.01886916,1.045252,-1.181819,0.8412052,-0.5373625,-0.01703504,0.05766469,
0.9901804,0.01873803,1.045181,-1.181845,0.8411545,-0.5374545,-0.0169895,0.05755994,
1.001274,0.01862884,1.045138,-1.181891,0.8411872,-0.5374075,-0.01683486,0.05756602,
1.012245,0.01858711,1.045043,-1.181941,0.8410921,-0.5375468,-0.01680053,0.05766501,
1.023523,0.01849222,1.045003,-1.181979,0.8411306,-0.5374904,-0.01661928,0.05768239,
1.03458,0.01834345,1.045008,-1.181987,0.8410942,-0.5375325,-0.01651269,0.05785122,
1.045681,0.01823425,1.044977,-1.182038,0.8410271,-0.5376239,-0.01638382,0.05801333,
1.056837,0.01813078,1.044933,-1.182098,0.8410128,-0.5376435,-0.01629467,0.05806359,
1.067777,0.01807928,1.04492,-1.182126,0.8409759,-0.5377165,-0.0161689,0.05795699,
