Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
0.6578581,-0.10783,0.09063339,-0.8565245,-0.4848337,-0.2102603,-0.1223736,0.8400903,
0.6725451,-0.1077046,0.09051228,-0.8564329,-0.4848652,-0.2103435,-0.1224309,0.8400429,
0.6774558,-0.1075969,0.090662,-0.8565016,-0.484867,-0.2101568,-0.1227548,0.8400413,
0.6880749,-0.1075969,0.090662,-0.8565016,-0.484867,-0.2101568,-0.1227548,0.8400413,
0.6924196,-0.1076627,0.09046173,-0.8564157,-0.4848163,-0.21015,-0.1227487,0.8400732,
0.7010908,-0.1077104,0.09051228,-0.85637,-0.4849712,-0.2101073,-0.1228632,0.8399777,
0.7119767,-0.107713,0.09054089,-0.8563309,-0.4848576,-0.210146,-0.1227849,0.840045,
0.723094,-0.1077149,0.09058571,-0.8563528,-0.4849108,-0.2102096,-0.1228816,0.8399842,
0.7340581,-0.1077757,0.09054184,-0.8562651,-0.4849962,-0.21012,-0.1229451,0.8399481,
0.7451501,-0.1077952,0.0906744,-0.8562679,-0.4849589,-0.2100831,-0.1229699,0.8399752,
0.7561671,-0.1077971,0.09067154,-0.8562746,-0.4849549,-0.209976,-0.1231835,0.839973,
0.7677086,-0.1078107,0.09063721,-0.8563366,-0.4850311,-0.2100422,-0.1231538,0.8399168,
0.778702,-0.1077809,0.09066582,-0.8563251,-0.4850606,-0.2100312,-0.1231728,0.8398998,
0.7897772,-0.1077905,0.09066772,-0.856328,-0.4850588,-0.209925,-0.123294,0.8399096,
0.8007587,-0.1077986,0.09065437,-0.8563204,-0.4850774,-0.2099925,-0.1233317,0.8398764,
0.8120848,-0.1077137,0.09057617,-0.8563938,-0.4851436,-0.209908,-0.1233717,0.8398534,
0.8230685,-0.1077342,0.09052849,-0.8563938,-0.4851342,-0.2099231,-0.1233887,0.8398526,
0.8340988,-0.1076331,0.09053802,-0.8562889,-0.4851055,-0.2098826,-0.1234765,0.8398664,
0.8457667,-0.1076891,0.09052658,-0.8562622,-0.4851953,-0.2099479,-0.1234342,0.8398044,
0.85641,-0.1077371,0.09055996,-0.8562384,-0.485174,-0.209954,-0.1233122,0.8398331,
0.8674237,-0.1077614,0.09053993,-0.8561459,-0.4851774,-0.2100099,-0.1233113,0.8398173,
0.8784754,-0.1076875,0.09057331,-0.8562098,-0.4852583,-0.2099829,-0.1232775,0.8397822,
0.905351,-0.1077175,0.09057903,-0.8563566,-0.4853007,-0.2099342,-0.1232736,0.8397705,
0.9120675,-0.1076899,0.09053135,-0.8562975,-0.4853223,-0.2099539,-0.1231296,0.8397743,
0.9231189,-0.1076703,0.09054375,-0.8562603,-0.4852522,-0.2099828,-0.1231126,0.8398101,
0.9341648,-0.1077774,0.09064007,-0.8562412,-0.4852482,-0.2100668,-0.1229243,0.8398188,
0.9454917,-0.1077495,0.0906086,-0.8562975,-0.4851907,-0.2100954,-0.1227901,0.8398646,
0.9565178,-0.1077874,0.0906496,-0.8563814,-0.4852797,-0.2101673,-0.1226513,0.8398155,
0.9677186,-0.107806,0.09070301,-0.8563967,-0.4852072,-0.2102351,-0.1224997,0.8398625,
0.9786462,-0.1078472,0.09070587,-0.8564072,-0.4852734,-0.2102561,-0.1223498,0.8398408,
0.9897349,-0.1078463,0.09070206,-0.8564005,-0.4852734,-0.2103107,-0.1222599,0.8398403,
1.000907,-0.1078565,0.09069729,-0.8564043,-0.4852308,-0.2103398,-0.1222421,0.8398602,
1.011876,-0.1079183,0.0906744,-0.8563299,-0.4851933,-0.210253,-0.1221762,0.8399132,
1.023139,-0.1079102,0.09066772,-0.8564863,-0.4852321,-0.2103022,-0.1221294,0.8398853,
1.034198,-0.107856,0.09059906,-0.856535,-0.4852563,-0.2102411,-0.1221135,0.8398889,
1.045295,-0.1079526,0.09052181,-0.856452,-0.4852873,-0.2103065,-0.1220212,0.839868,
1.056411,-0.1079791,0.09050179,-0.8564787,-0.4852913,-0.2102744,-0.1220083,0.8398756,
1.067406,-0.1077778,0.09052658,-0.8564625,-0.4852731,-0.2102615,-0.1219706,0.8398948,
1.078462,-0.107794,0.09051609,-0.8564739,-0.4853015,-0.2102554,-0.1218795,0.8398932,
1.089617,-0.1078303,0.09061623,-0.8563738,-0.4853716,-0.2103188,-0.1218643,0.839839,
1.100883,-0.1078603,0.09062386,-0.85637,-0.4853857,-0.2102811,-0.1217594,0.8398555,
1.111924,-0.1078603,0.0905962,-0.856595,-0.4853882,-0.2103804,-0.1216536,0.8398445,
1.123089,-0.107935,0.09070206,-0.8565321,-0.4855095,-0.2103203,-0.1216455,0.8397906,
1.136327,-0.1079311,0.09068775,-0.8565359,-0.4854217,-0.2103338,-0.1215501,0.8398518,
1.145232,-0.1079168,0.090662,-0.8565063,-0.4854415,-0.2103468,-0.1216051,0.8398292,
