Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
0.6571013,0.1196856,0.0941391,-1.178235,-0.08695987,0.527359,0.72865,0.4282518,
0.6720657,0.1197605,0.09405422,-1.178241,-0.08682553,0.5273629,0.7286572,0.4282619,
0.6770117,0.1197197,0.09408283,-1.17818,-0.08676192,0.5273118,0.7286341,0.4283773,
0.6874555,0.1197197,0.09408283,-1.17818,-0.08676192,0.5273118,0.7286341,0.4283773,
0.6919908,0.1196246,0.0941143,-1.178157,-0.08676258,0.5272874,0.7286627,0.4283583,
0.7004974,0.1196055,0.09411049,-1.178079,-0.0866842,0.5272133,0.7286829,0.4284312,
0.7115558,0.1195517,0.09408569,-1.177983,-0.08658794,0.5271638,0.7287161,0.428455,
0.7226683,0.119525,0.093997,-1.177992,-0.08652877,0.5270943,0.7287222,0.4285422,
0.7336466,0.1196485,0.09422302,-1.178042,-0.08636941,0.5272035,0.7286096,0.4286315,
0.7447115,0.1197395,0.09413528,-1.17802,-0.08635971,0.5270347,0.7286932,0.4286988,
0.7557582,0.1198483,0.09412003,-1.178093,-0.08621138,0.5270606,0.7286364,0.4287933,
0.7671601,0.1198199,0.09415913,-1.178103,-0.08622139,0.5270572,0.728626,0.4288132,
0.7781841,0.1198211,0.09417534,-1.178086,-0.08614137,0.527001,0.7286607,0.4288395,
0.7893325,0.1198387,0.09414291,-1.178139,-0.08613694,0.5270127,0.7286528,0.4288394,
0.8003072,0.1198444,0.09406948,-1.178128,-0.0861003,0.5269746,0.7286881,0.4288335,
0.8115897,0.1198421,0.09402847,-1.178135,-0.08612771,0.5271187,0.7285751,0.4288429,
0.822578,0.1197913,0.09403324,-1.178081,-0.08622994,0.5270993,0.7286031,0.4287986,
0.8336266,0.1196735,0.09397316,-1.178132,-0.08623596,0.5271547,0.728569,0.4287872,
0.8451016,0.1197472,0.09395409,-1.178194,-0.08632018,0.5270791,0.728629,0.4287614,
0.85594,0.1199124,0.09398079,-1.178052,-0.0861742,0.5270205,0.7286668,0.4287985,
0.8669104,0.1199481,0.09395599,-1.178129,-0.08626778,0.5269682,0.7286879,0.4288082,
0.8780394,0.1198928,0.09400272,-1.178088,-0.08624075,0.5269436,0.7287099,0.4288062,
0.9048747,0.1197953,0.0939846,-1.178128,-0.08642615,0.5269532,0.7287564,0.4286784,
0.9116562,0.1196835,0.09392738,-1.178145,-0.08651336,0.5268981,0.7288058,0.4286442,
0.9226986,0.1196022,0.0939064,-1.178115,-0.08658985,0.5269451,0.7288338,0.4285235,
0.9337491,0.1195638,0.09383869,-1.17812,-0.08647642,0.526918,0.7288366,0.4285749,
0.9450569,0.119612,0.09388733,-1.178237,-0.08649141,0.5269322,0.7288196,0.4285834,
